Cmi,こいぬ座,アクタイオンが狩りの途中に水浴びをする女神アルテミスの姿を見てしまい怒りに触れたため鹿に変えられ残された猟犬が空に昇り小犬座になった
Tri,さんかく座,神話は伝わっていないがギリシャ文字の⊿に似ているためデルトートンと呼ばれたりナイル川の三角州を表すともされた
Cyg,はくちょう座,ゼウスが恋したスパルタ王妃レダに近づくために化けた姿であり白鳥が去ったのちレダが生んだ2つの卵がふたご座のふたりになったとされる
Del,いるか座,乗船中金に目がくらんだ船員に殺されそうになったアリオンが死ぬ前に一度だけと琴を弾くとどこからともなくいるかの群れが現れアリオンを乗せ助け出した
Cnc,かに座,ヘラクレスを嫌いな女神ヘラが彼を殺そうと戦いの際にかにに足を切らせようとしたところ戦いに夢中だった彼はかにに全く気付かず踏みつぶしてしまった
Crt,こっぷ座,神話は伝わっていないが大きな杯がモデルとなっておりこれは古代ギリシャで使われていたクラーテルという杯であるとされる
Crv,からす座,カラスはアポロンの使いであり真っ白で人の言葉を喋っていたが嘘の告げ口をアポロンにしたため罰として姿を黒くされ人の言葉を喋れないようにされた
Crb,かんむり座,生贄となっていたアリアドナエアは勇者テセウスに恋したものの島に置き去りにされそこに酒神ディオニュソスが現れ黄金のかんむりを送り彼女を王妃にしたとされる
Cep,けふぇうす座,エチオピア王ケフェウスの妻カシオペアはとても自慢好きで娘と海の妖精の美しさを引き比べたため海の神ポセイドンの怒りを買い怪物により国を荒らされた(カシオペヤ座に続く)
Sgr,いて座,いて座はさそり座に弓を向けるケンタウロスであるとされ勇者オリオンを刺殺した蠍が天上で暴れた時にすぐに射殺すことができるようにしているといわれる
Lep,うさぎ座,神話は伝わっていないが気性の激しいオリオンに対して神が優しい心を持つようにと遣わしたがオリオンに踏みつぶされ哀れに思った神が空に上げたといわれる
Lyra,こと座,オルフェウスはなくなった妻を生き返らせるため冥王ハデスに琴を弾きながらお願いしたが現世に帰る途中ハデスとの約束を破り妻は冥界に閉じ込められオルフェウスも絶望し身を投げた
Umi,こぐま座,カリストという娘がゼウスと恋をして二人の間にアルカスという男の子が生まれたがそのことに激怒したゼウスの妻である女神ヘラがカリストを熊にしてしまった(おおぐま座に続く)
Cas,かしおぺや座,(ケフェウス座の続き)神託によるとポセイドンの怒りを鎮めるためには娘を鯨の怪物に生贄として捧げなくてはいけないとされ娘を海岸に鎖で縛り置き去りにした(アンドロメダ座に続く)
Gem,ふたご座,ゼウスとスパルタ王妃の間には兄カストル弟ポルックスの双子がおり兄はレダの血を受けたが弟はゼウスの血を受けたため不死身だった
Ori,おりおん座,オリオンは海神ポセイドンの息子であり父から海を歩く力を与えられ海でも川でも陸と同じように歩くことができた
Her,へらくれす座,ゼウスと王女アルクメーネーの間に生まれた子であり生まれる前からゼウスの妻であったヘラの憎しみを受け様々な妨害をされたが12の冒険を成し遂げ神となったとされる
Peg,ぺがさす座,勇者ペルセウスがメデューサの首を切って倒した際胴体から生まれた天を翔ける羽のある白馬である
Cra,みなみのかんむり座,酒神ディオニュソスの母でゼウスの妻のセメレは嫉妬したヘラに殺される。成長したディオニュソスは冥界へ行き母を救い出しこの星座はこの時送ったかんむりであるとされる
Uma,おおぐま座,(こぐま座の続き)ある日成長したアルカスが自分の母親とは知らずに熊に対して弓を放ったがこれを見たゼウスが驚き矢が当たる前に2人を天にあげたとされている
Cma,おおいぬ座,必ず獲物を捕まえる力を持つ犬ライラプスが飼い主のケパロスに命じられ誰にも捕まらない運命にあるキツネを延々に追いかけ続けていたところ見かねたゼウスにより天にあげられた
Aur,ぎょしゃ座,生まれつき足が不自由であったアテネ王エリクトニオスだったが武勇に優れ不自由な片足をものともせずに戦に出かけさらに四頭立ての戦闘馬車を発明されたとされる
Lup,おおかみ座,アルカディア王のリュカオンの息子たちに人肉を出され激怒したゼウスは息子たちを一番幼い子を残し皆で殺してしまいリュカオンを共犯者として狼の姿に変えてしまった
Psc,うお座,神々が川のほとりで宴会していた時に突然怪物が現れたため美の女神アフロディテと娘エロースは離れ離れにならないようお互いの体を結びつけ魚の姿に変身し逃げた
Cet,くじら座,生贄にされていたアンドロメダを食べようとするもメドゥーサを倒した後にたまたま通りかかった勇者ペルセウスによってメドゥーサの首を突き付けられ石にされる
Dra,りゅう座,ヘラクレスの11番目の冒険に出てくる黄金のリンゴを守る竜。ヘラクレスはリンゴを手に入れるため木の持ち主アトラスに取りに行ってもらいその間アトラスが支えていた天地を支えた
Cen,けんたうるす座,ケンタウロスは半人半獣の種族の名前でありゼウスの妻ヘラに思いを寄せたイクシオンをゼウスが懲らしめようと雲をヘラの姿に型取り送ったところこの雲から生まれたと言われている
Ari,おひつじ座,テッサリア王アサマスの息子プリクソスと娘ヘレーは継母イノーの悪巧みにより生贄にされそうになるが黄金の毛を持つ羊にの背に乗り逃げることができた
Leo,しし座,ヘラクレスの最初の冒険に出てくるネメア谷の獅子であり固い毛皮を持つためヘラクレスは武器でその皮を貫けず最終的に素手で首を絞めて倒したとされる
And,あんどろめだ座,(カシオペヤ座の続き)海岸の岩に縛り付けられたアンドロメダだがくじらの化け物に食べられそうになったところにメドゥーサとの戦いの帰りのペルセウスによって助けられた
Aql,わし座,トロイアの王子であるガニュメデスはあまりにも美しい少年であったためその美貌がゼウスの耳に入りゼウスは鷲の姿となり彼を連れ去ったとされる
Tau,おうし座,エウロペに恋をしたゼウスが誰にも知られず近づけるよう化けた姿であるとされこの星座の中のプレアデス星団は勇者オリオンに5年間追いかけまわされたプレアデス7姉妹とされる
Oph,へびつかい座,アポロンとコロニスの子供であるアスクレピオスは名医として知られていたが死者をよみがえらせるほどの腕前になったため冥王ハデスの怒りを買いゼウスの雷によって殺された
Sge,や座,その矢に貫かれたものは誰もが恋の虜になるという愛の神エロスの矢だとされている
Equ,こうま座,アイオロスとの間に子供ができてしまったケイローンの娘ヒッペは父が激怒することを恐れ神に頼み馬に姿を変えてもらった
Ara,さいだん座,ゼウスとその兄弟たちが父クロノスに戦いを挑み旧体制を打ち破ることを誓った祭壇であるとされる
Psa,みなみのうお座,神々が川のほとりで宴会していた時に突然怪物が現れたため太陽の神アポロンは魚の姿に変身して川に逃げ込んだ
Vir,おとめ座,豊作の神デメテルの娘ペルセポネは冥神ハデスの妻であったため1年のうち8か月を天上で過ごし残り4か月を冥界で過ごす。そのため4か月は穀物が育たない冬であるとされている
Boo,うしかい座,こぐま座のモデルとなったアルカスが熊の姿に変えられる前の狩人の姿であるとされ左手に2匹の猟犬を連れ右手にこん棒を持っている
Lib,てんびん座,正義の女神アストレアの持つ天秤であり死者の魂を測って悪に傾いたものを冥界に送る役割を果たしているとされる
Cap,やぎ座,神々が川のほとりで宴会していた時に突然怪物が現れたため牧神パンはヤギに化けて逃げようと川に飛び込んだところ下半身だけが魚になりその姿がゼウスによって星座にされた
Agr,みずがめ座,ゼウスにより天井へと連れ去られてしまったガニュメデスが不死の酒ネクタールを給仕するために持っている水がめであるとされる
Per,ぺるせうす座,ペルセウスはアクリシオスの孫だが彼は孫に殺されるという神託を受けペルセウスを捨てた。しかし成長したペルセウスが競技会で投げた円盤が一人の老人に直撃し亡くなる。これがアクリシオスだった
Eri,えりだぬす座,太陽神アポロンの子であるパトエンがアポロンの馬車を動かしてしまったところ馬車が止まらなくなったためゼウスにより雷が落とされ彼はエリダヌス川に落ちた
Sco,さそり座,勇者オリオンの粗暴な振る舞いに腹を立てた大地母神ガイアがオリオンを殺すために遣わした蠍
Hya,うみへび座,ヘラクレスの2番目の冒険に出てくる海蛇ヒドラであり首が9つありその首は切り落とすたびに新しく2つ首が出てくるが首を切ってすぐその切り口を燃やし首が生えないようにして倒した
Argo,あるご座,コルキス国の宝である黄金の羊の毛皮を手に入れるための遠征隊の船でギリシャ神話の多くの英雄が乗り込んでいた。コルキスへの航海には数多くの難関が待ち受けていたが見事毛皮を手に入れた